==7567== NVPROF is profiling process 7567, command: ./MN
==7567== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7567== Profiling application: ./MN


 Processing Done !!! 

==7567== Profiling result:
==7567== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X2 (0)"
    Kernel: executeEleventhLayer_PSC(double*, double*, double*, double*, double*, double*, double*)
          1                               issue_slots                                           Issue Slots     6518236     6518236     6518236
          1                                 cf_issued                      Issued Control-Flow Instructions       44800       44800       44800
          1                               cf_executed                    Executed Control-Flow Instructions       44800       44800       44800
          1                               ldst_issued                        Issued Load/Store Instructions    13014784    13014784    13014784
          1                             ldst_executed                      Executed Load/Store Instructions     3328000     3328000     3328000
          1                       atomic_transactions                                   Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                      l2_atomic_throughput                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                     L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                       L2 Transactions (Texture Reads)    47539200    47539200    47539200
          1                     stall_memory_throttle                 Issue Stall Reasons (Memory Throttle)       0.15%       0.15%       0.15%
          1                        stall_not_selected                    Issue Stall Reasons (Not Selected)       0.00%       0.00%       0.00%
          1                 l2_tex_write_transactions                      L2 Transactions (Texture Writes)      200704      200704      200704
          1                             flop_count_hp             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul          Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma         Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                 HP Instructions(Half)           0           0           0
          1                             sm_efficiency                               Multiprocessor Activity      99.65%      99.65%      99.65%
          1                        achieved_occupancy                                    Achieved Occupancy    0.706845    0.706845    0.706845
          1                                       ipc                                          Executed IPC    0.083024    0.083024    0.083024
          1                                issued_ipc                                            Issued IPC    0.086215    0.086215    0.086215
          1                    issue_slot_utilization                                Issue Slot Utilization       2.09%       2.09%       2.09%
          1                  eligible_warps_per_cycle                       Eligible Warps Per Active Cycle    0.082221    0.082221    0.082221
          1                           tex_utilization                             Unified Cache Utilization     Low (2)     Low (2)     Low (2)
          1                        shared_utilization                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          1                       ldst_fu_utilization                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                         cf_fu_utilization                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                    special_fu_utilization                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           single_precision_fu_utilization            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization            Double-Precision Function Unit Utilization     Low (3)     Low (3)     Low (3)
          1                        flop_hp_efficiency                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                        flop_sp_efficiency                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                          FLOP Efficiency(Peak Double)      16.34%      16.34%      16.34%
          1                            l2_utilization                                  L2 Cache Utilization     Low (3)     Low (3)     Low (3)
          1                          dram_utilization                             Device Memory Utilization     Mid (4)     Mid (4)     Mid (4)
          1             half_precision_fu_utilization              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
    Kernel: executeNinthLayer_PSC(double*, double*, double*, double*, double*, double*, double*)
          1                             inst_per_warp                                 Instructions per warp  557.000000  557.000000  557.000000
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
